GeneID	C-1	C-2	C-3	H-1	H-2	H-3	L-1	L-2	L-3
LOC127993992	69.418	68.965	67.716	30.696	30.237	29.670	40.180	41.837	38.867
LOC127994147	5.775	5.698	5.728	3.883	3.624	3.528	9.318	9.027	6.180
LOC127994405	6.154	5.798	5.962	4.056	5.866	6.615	1.941	2.122	1.024
LOC127995502	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LOC127995818	0.000	0.000	0.000	0.000	0.000	0.000	0.022	0.012	0.000
LOC127997289	0.042	0.086	0.088	2.742	3.014	3.615	0.017	0.018	0.039
LOC128002503	0.051	0.105	0.134	3.875	3.039	4.111	0.000	0.000	0.000
LOC127996448	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.013
LOC127996135	0.044	0.045	0.046	0.000	0.052	0.060	0.000	0.000	0.000
LOC127995978	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LOC127996292	0.000	0.000	0.000	0.067	0.066	0.038	0.000	0.021	0.000
LOC128016159	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LOC127996972	0.127	0.131	0.133	0.000	0.000	0.000	0.020	0.066	0.000
LOC127967194	0.000	0.000	0.000	0.032	0.000	0.000	0.000	0.000	0.000
LOC127996712	0.010	0.011	0.011	0.077	0.025	0.074	0.075	0.108	0.254
LOC128004220	0.000	0.000	0.000	0.026	0.000	0.000	0.000	0.000	0.000
LOC127997131	0.279	0.245	0.222	0.061	0.031	0.042	0.032	0.080	0.149
LOC128016445	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LOC128012164	0.000	0.000	0.000	0.411	0.058	0.321	0.000	0.000	0.000
LOC128010551	0.209	0.203	0.207	0.391	0.395	0.462	0.367	0.321	0.254
LOC128010394	5.433	5.721	5.364	8.587	9.889	10.654	15.481	15.870	10.864
LOC128012269	0.213	0.201	0.205	0.049	0.091	0.105	0.071	0.015	0.083
LOC128011112	4.969	4.785	4.684	1.994	2.099	2.197	3.869	3.559	2.904
LOC128012103	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LOC128011053	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
